-Baa	time of. Occurs in yaay-baa (sun-baa) meaning ‘summer’ and dhandarr-aa (frost-aa) meaning ‘winter’.	place of. Occurs in walaay-baa (campplace of) meaning ‘a person’s country or home place’. ♦ Gayaay-baa-ga ngiyani yanaa-waa-nha.	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
baa-y	hop	jump	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
baa-y	hop	jump	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
baa-y	hop	stamp	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
baa-y	hop	flap	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
baabi-li	stay	sleep	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
baabi-li	stay	sleep	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
baabi-li	stay	sleep	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
baabi-li	stay	camp 	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
baagii	grandmother (mother’s mother)	old woman	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
white ant, termite. One source, baaman 	father’s sister.	mother’s brother’s wife.	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
white ant, termite. One source, baaman 	father’s sister.	mother’s brother’s wife.	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
white ant, termite. One source, baaman 	father’s sister.	mother’s brother’s wife.	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
white ant, termite. One source, baaman 	father’s sister.	mother’s mother’s brother’s daughter. This is a relationship term. It is not clear if it refers to a relationship between two women, or between a man and a woman. For a man, all women were in one of four relationships: sister, mother, mother-in-law and potential spouse. His aunty (father’s sister) was of the same social section as his mother-in-law. For example, for a Marrii man, they are both Yibadhaa. For the Marrii man, the other woman referred to above is also Yibadhaa. See Introduction.	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
white ant, termite. One source, baaman 	father’s sister.	mother’s mother’s brother’s daughter. This is a relationship term. It is not clear if it refers to a relationship between two women, or between a man and a woman. For a man, all women were in one of four relationships: sister, mother, mother-in-law and potential spouse. His aunty (father’s sister) was of the same social section as his mother-in-law. For example, for a Marrii man, they are both Yibadhaa. For the Marrii man, the other woman referred to above is also Yibadhaa. See Introduction.	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
white ant, termite. One source, baaman 	father’s sister.	mother’s mother’s brother’s daughter. This is a relationship term. It is not clear if it refers to a relationship between two women, or between a man and a woman. For a man, all women were in one of four relationships: sister, mother, mother-in-law and potential spouse. His aunty (father’s sister) was of the same social section as his mother-in-law. For example, for a Marrii man, they are both Yibadhaa. For the Marrii man, the other woman referred to above is also Yibadhaa. See Introduction.	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
horse fly. Also called march fly. baan.giirr	black-tailed native hen (Gallinula ventralis). This is a rare word, the common word is gulguwi. One source.	Bangate. A large property between Lightning Ridge and Goodooga, where Langloh-Parker lived; it is named after the native hens there.	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
horse fly. Also called march fly. baan.giirr	black-tailed native hen (Gallinula ventralis). This is a rare word, the common word is gulguwi. One source.	Bangate. A large property between Lightning Ridge and Goodooga, where Langloh-Parker lived; it is named after the native hens there.	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
horse fly. Also called march fly. baan.giirr	black-tailed native hen (Gallinula ventralis). This is a rare word, the common word is gulguwi. One source.	Bangate. A large property between Lightning Ridge and Goodooga, where Langloh-Parker lived; it is named after the native hens there.	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
baarra-y	crack. ♦ Gawu baarra-nhi. 	split. ♦ Giirr nhama maayama baarra-nhi.	Yuwaalayaay/Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	cognates
baarra-y	crack. ♦ Gawu baarra-nhi. 	burst.	Yuwaalayaay/Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	cognates
baarra-y	crack. ♦ Gawu baarra-nhi. 	burst.	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
