entry	main	second	language	dictionary	homonym	label
aa!	¡Oh!, ¡ah! Arcaísmo de a!	Fuera, afuera.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 interjección | Argentina
achacha,	Juguete. 	Vestido lujoso.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo
achachilla	Apacheta.	Veneración de los accidentes geográficos, considerados como lugares sagrados. 	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | Religión | Ecuador
achala,	Adorno. Vestido lujoso. Atavío llamativo.	Juguete de niños.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | Argentina
achiku	Estrafalario.	Gracioso. Arg: achika.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	adjetivo
achikyay	Rayar la aurora. Centellear, titilar las primeras luces del amanecer.	Aya: achij (luz, claridad, resplandor).	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo | Perú Apurímac
achiq	Hechicero, brujo. 	Adivinación de la suerte haciendo saltar la saliva de la palma de la mano o el zumo de coca.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo
achupalla,	(Tillandsia straminea). Puya. De la familia de las bromeliáceas. Hojas alargadas y espinosas. Flor en perigonio y fruto en piña. En el tallo viven los gusanos qarwa-kuru utilizados en medicina popular. variedades: china achupalla, qowe achupalla, ñut'u achupalla, qheswa achupalla. 	Biotipo de plantas suculentas como las tillandsias. Décimo tercer biotipo en Fitogeografia. (F.M.M.)	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | Botánica | Ecología Vegetal
achhuchiy	Postergar.	Cambiar.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo
achhuchiy	Postergar.	Retirar.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo
aka	Excremento. Heces fecales.	En el caso de los animales, cuando los excrementos están secos, toman diferentes nombres: q'awa del ganado vacuno; taqya o uchha de la llama,	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo
akatanqa	(Canthon ga-mellatus Erich. Canthon laesus E. Canthon nitidicollis Luc). (El que empuja el ex cremento). Escarabajo pelotero. Insecto del orden coleóptera y familia scarabácidas, caracterizado por el aparato bucal masticador y alas anteriores en élitros.	insult. Grave insulto: sonso, tonto, taymado. 	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo |  Zoología | adjetivo
aksu	Vestido inka. Camiseta de mujer, ajustado al cuerpo, que dejaba ver las piernas. 	V. ANA.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo |  tejido
alqa	Entrecortado, discontinuo. 	Pelaje de dos colores en animales: moteado. 	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	adjetivo | Agricultura
alqa	Entrecortado, discontinuo. 	Espacios en los cultivos donde aún no ha germinado la semilla.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	adjetivo | Agricultura
alqo	(Canis familiaris L; Canisinkae). Perro. De la familia canidae. Mamífero carnívoro, cabeza prolongada, cinco dedos en extremidades anteriores y cuatro en las posteriores, todos con uñas no retráctiles. Especie sometida a la domesticación desde tiempos prehistóricos.	insult. Dícese a las personas innobles. 	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo |  Zoología | adjetivo
allichanakuy	Acción de transigir.	Arreglarse amistosamente una disputa.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo |  verbo
allinyay	Sanar, aliviarse, curarse, ya estar bien. 	Prosperar, mejorar.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo
allpa	Tierra, suelo, terreno de cultivo.	Parte sólida o superficie del planeta Tierra. 	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | Geografía |  Jurisprudencia
allpa	Tierra, suelo, terreno de cultivo.	NEOL. Deslinde de hitos de un predio rústico o urbano.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | Geografía |  Jurisprudencia
allpasapa	Que posee mucha tierra; con muchos terrenos.	Terrateniente.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	adjetivo | sustantivo
allpayoq	Que posee tierras; dueño o propietario de tierras.	Mezclado con tierra. Pe.Aya: alpayuk.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | adjetivo
allwiy	Acción de urdir. Colocar los hilos ordenados para tejer. Pe.Anc: aulliy. Pe.Aya: auliy. Pe.Jun: alwiy.	aulli (maraña, enredo).	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo |  tejido | Ecuador
amachaq	hamaut'a. s. Juris. NEOL. Jurista. Estudioso de la ciencia jurídica.	Defensor.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	
amani	Nodriza, ama.	NEOL. Empleada que cuida a los niños.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo
amaru	Serpiente. Culebra de gran tamaño. En la época inkaica era tótem de la sabiduría, por ello las fachadas de las Casas del Saber o Yachay Wa-sikuna llevan tal figura. 	Yerba medicinal, parecido a la serpiente en su forma.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo |  Zoología | Bolivia
amiy	Hastiar, empalagar.	Palanquear, forzar, romper un dique.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo | Perú Junín
amuqlli	Amígdalas. Glándulas en forma de almendra, situadas en la entrada de la faringe.	Amigdalitis. Papera. Inflamación de las a-mígdalas. 	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | Anatomía |  Patología | Ecuador
amuqlli	Amígdalas. Glándulas en forma de almendra, situadas en la entrada de la faringe.	Suave, flojo.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | Anatomía |  Patología | Ecuador
anaq	Duro, trabajoso, cosa dura, dificultoso.	Regio, con- sistente. Pe.Aya: anasja. Bol: chukru. Ec: sinchi.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	adjetivo
anchhiy	Congoja, aflicción, pena, pesadumbre.	Gemir, sollozar.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo |  verbo
anchhiy	Congoja, aflicción, pena, pesadumbre.	Suspirar. 	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo |  verbo
anka	(Gerancaetus me-lanoleucus Veicillot). Gavilán. Aguila. Ave accipitrida. Cabeza y cuello completamente cubiertos de plumas. Dedos con uñas ganchudas y retráctiles. Vive en quebradas y zonas rocosas. Pe.Anc: Jun: rukus.	anca (águila real andina). Arg: anca	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo |  Zoología | Perú Ayacucho
anka	(Gerancaetus me-lanoleucus Veicillot). Gavilán. Aguila. Ave accipitrida. Cabeza y cuello completamente cubiertos de plumas. Dedos con uñas ganchudas y retráctiles. Vive en quebradas y zonas rocosas. Pe.Anc: Jun: rukus.	V. AQCHI.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo |  Zoología | Perú Ayacucho
Ankash	Departamento de Ancash, Perú, con 818,289 habitantes en 1981.	Laguna y localidad de la provincia de Chincha, lea.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | Geografía
Ankash	Departamento de Ancash, Perú, con 818,289 habitantes en 1981.	El Cantón, Cuenca, Ecuador.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | Geografía
